label,text
ham,"“Oops, eu vou te avisar quando o roommate terminar.”
"
ham,“Olha a letra B no meu carro.”
ham,"“Qualquer coisa, então... Você decide...”"
ham,“Oi! Como você está? Como foi o sábado? Eu estava só trocando mensagens pra ver se você decidiu fazer alguma coisa. Não que eu esteja tentando te convidar ou qualquer coisa!”
ham,“Pode deixar com watts. Só queria ter certeza. Tenha um ótimo fim de semana. Abiola”
ham,"“Você esqueceu de me contar? Eu quero você, eu preciso de você, eu cravei você... Mas, principalmente... Eu te amo, meu doce cavalo árabe... Mmmmmm... Delicioso.”"
spam,"“Olá! Tentamos ligar para você em resposta ao seu retorno. Para uma oferta de Nokia mobile e câmera gratuita, ligue agora para 08000930705 para entrega amanhã.”
"
ham,"“E aí, você tá vendo o quê?”"
ham,“Ótimo! Espero que você goste do seu homem bem rico. Estou &lt;#&gt;  inches…”
ham,“No calls..messages..missed calls”
ham,"“Ei, você recebeu a imunização contra o hep B na Nigéria?”"
ham,"“É verdade, viu? Alguma coisa acontecendo?”"
ham,"“Sim, espero que Tyle, se não conseguir, eu possa perguntar um pouco para os outros.”"
ham,“Você não sabe o quão persistente eu sou. Eu nem queria ir ao hospital. Eu sempre dizendo a Mark que eu não sou um burro. Hospitais são para burros.”
ham,"“O que você pensou de mim? Foi a primeira vez que te vi na sala de aula.”
"
ham,"“A gram geralmente corre como &lt;#&gt; , mas uma metade de eighth é mais inteligente e te dá quase um segundo gram para &lt;#&gt;.”
"
ham,"“Oi! Pra avisar, eu tenho um passeio de manhã cedo amanhã, mas ele está no nosso lugar essa noite.”"
ham,"“Wow. Eu nunca imaginou que você estivesse tão envergonhada com suas acomodações. Eu pensei que você gostasse, já que eu estava fazendo o meu melhor e você sempre parecia tão feliz com o cave.”

“Sinto muito que eu não tenha e não tenho mais nada para dizer. Sinto muito por ter oferecido. Sinto muito que sua sala fosse tão envergonhada.”"
spam,SMS. Thursday: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
ham,“Você sabe o que Mallika Sherawat fez ontem? Descubra agora @ &lt;URL&gt;”
spam,"“Parabéns! 1 ano de passe especial para 2 pessoas. Chame agora 09061209465! C Suprman V, Matrix3, StarWars3, etc. tudo 4 em oraçãois! bx420-ip4-5we. 15h. Não perca essa oportunidade!”"
ham,"“Calma, eu te ligo mais tarde na reunião.”
"
ham,"“Ótima pergunta! Onde você chegou? [link]""
"
ham,“Sim… Gatauti e sehwag saíram da série ODI.”
ham,“Você vai ter que pegar uma hambúrguer de $1 para você no caminho de casa. Não consigo nem me mover. Dor está me matando.”
ham,"“Haha, boa piada. As garotas são procuradoras de situação.”"
ham,“É parte de uma prova de QI.”
ham,"“Ai, desculpa que meus colegas de quarto demoraram muito, tá tudo bem se eu vir aqui agora?”
"
ham,"“Ok, tudo certo e já cheguei a verificar o cabelo da estilista. Ele disse que vai cortar até eu ficar com uma boa aparência.”"
spam,"“Olá! Você é um cliente valioso, é bom te avisar que, depois de analisar sua Mob No., você ganhou um prêmio de 1500 £!”"
ham,"“Hoje é dia dedicado...”

Will I dedicate this to you? Send this to all your valuable friends, but first reply to me..."
spam,"“Olá! Sua viagem para EuroDisinc Trav, Aco&Entry41 Or å£1000 foi confirmada. Para validar seu pagamento, toque em 'txt DIS' para 87121 18+6*å£1.50 (mais de móvel).  Aguardando sua resposta: ShrAcomOrSglSuplt)10, LS1 3AJ”"
spam,“Você ouviu falar sobre a nova Barbie Divorciada? Tem tudo de Ken!”
ham,“Estou planejando dar sobre este mês final.”
ham,"“Que sorte você, cara... Depois pode economizar... Ah...”"
ham,“A sala de aula acabou. Você aí?”
ham,"“Oi, garoto, você está em casa agora? Quer fazer alguma coisa?”"
ham,“Oi! Você tá onde? Como você fez isso?”
ham,“Você pode me chamar agora?”
ham,"“Estou esperando, machan. Chame-me uma vez que você estiver livre.”"
ham,“É legal. Eu sou um cara e vou tratar você com dignidade e respeito.”
ham,"“Eu gosto de vocês muito, mas sou muito tímido(a) pra isso.”"
ham,“Não funciona depois de &lt;#&gt; ou o quê?”
ham,“Não é assim aqui. Ainda procurando emprego. Quanto Ta ganha lá?”
ham,"“Desculpa, eu ligo mais tarde.”
"
ham,“Oi! Você me ligou agora? Ah?”
ham,"“Olá! Estou indo para casa, hi hi”
"
ham,“Você vai estar no lugar desse homem.”
ham,“É pra onde você tá indo?”
ham,"“Chamo você mais tarde, não tenho rede. Se urgente, me SMS.”
"
ham,"“É real quando você tá chegando comigo? Eu só preciso de mais 2 ingressos e uma mais de jaqueta e eu tô indo. Já usei todos os meus multis.”
"
ham,"“Sim, comecei a enviar solicitações para que isso passasse, mas a dor voltou, então estou de volta na cama. Duas moedas no estaleiro também.” “Preciso sacar todas as minhas nitros.”"
ham,"“Estou realmente não conseguindo mais hoje, amor.”"
ham,"“Ela kano.,il download, come wen ur free…”

“Ela está baixando um programa, e ela está esperando se ele é gratuito.”"
ham,"“E aí! Não se aproxime muito, porque você vai pegar algo!”"
ham,“Sinto muito ser uma dor. Está tudo bem se a gente se encontre outra vez? Passei o tarde depois no casualty e isso significa que eu não fiz nenhum de meus trabalhos. Estou aqui e isso inclui todos os meus horários e que. Desculpa.”
ham,"“Sorria de prazer, sorria de dor, sorria quando a dor transborda como Chuva. Sorria quando alguém te machuca, sorria porque alguém ainda ama te ver sorrindo.”
"
spam,"""Olá! Sua equipe de atendimento ao cliente está te ligando para te dar uma notícia incrível! Você ganhou um prêmio garantido de £1000 ou £5000! Clique aqui para verificar seus dados: [link]""
"
ham,"“Não planejo comprar mais tarde. Já revisei, só tenho 530 ingressos para o final da tarde. Já terminei o trabalho, né?”"
spam,"“Ei, seu ringtone grátis está esperando para ser coletado. Só digite o código \MIX\"" para verificar. Pegue Usher e Britney. FML”
"
ham,"“Estou assistindo a um filme Telugu… falando sobre você?”
"
ham,"“Eu vejo. Quando a gente acabar, tem um monte de empréstimos pra pagar.”"
ham,"“Oi. A semana está boa - agora na folga! Sim, estou indo um pouco mais. Esqueci que tenho um horário de corte de cabelo às quatro, então preciso voltar para casa e tomar um banho antes. Isso causa algum problema pra você?”"
ham,“Olá! Não vai mais me mandar mensagem. Não tenho mais nada pra dizer.”
ham,"“Oi! Seu nome e preço, desde que seja legal! Quem pode eu pegar? Por que você tem isso? X?”"
ham,"“Estou ainda procurando um carro para comprar. E ainda não fiz o teste de direção.”
"
ham,“Olá! Sua chamada está configurada como o callertune para todos os Callers. Pressione *9 para copiar o callertune dos seus amigos.”
ham,"“Wow! Você está certo! Eu não queria fazer isso. Acho que, depois de desistir de Boston e mudar meu local de busca para Nova York, algo mudou. Porque na minha página de login ainda diz Boston.”"
ham,"“Oi! Minha vida e meu amor, vovó, muito amor você, querido(a).”"
ham,“Valeu muito pelas suas felicitações de aniversário. Obrigada por fazer meu aniversário ser realmente memorável.”
ham,"“E aí, eu te ligo quando eu tiver algum dinheiro.”"
ham,"“Olá! Seu endereço IP testou isso considerando que seu computador não é um servidor Minecraft?”
"
ham,"“Entendi! Velhos rabugados. Minha mãe disse que você não deveria estar mentindo. Mas, de qualquer forma, eu sempre sou quem faz piadas...”"
ham,“Não se preocupe. Acho que ele está ocupado.”
ham,"“Qual é o plural de adereço de pesquisa?”
"
ham,“Estou indo para jantar. Te aviso depois.”
ham,"“Estou bem com isso, porque eu gosto de tentar coisas novas. Mas eu estou com medo de você, né? Porque você disse que não é muito alto.”"
spam,"“Pessoal! Estamos tentando entrar em contato com você. No último fim de semana, os sorteios de bola de vinho mostraram que você ganhou um prêmio de £1000 garantido. Ligue para 09064012160. Use o código K52. Validade apenas 12 horas. 150ppm"""
ham,"“Olá! Sua conta da Amazon foi suspensa por atividade estranha. Por favor, clique aqui para verificar seus dados: [link]""
"
ham,"“Entrei na minha cabana e o PA disse: ‘Feliz Aniversário, chefe !!’ Eu me senti especial. Ela me perguntou 4 almoço. Depois do almoço, ela me convidou para o seu apartamento. Fomos lá.”"
spam,“Você é um vencedor. Você foi especialmente selecionado para receber 1000 libras ou um pacote de 4 viagens (incluindo voos) fale com um operador vivo para reclamar 0871277810910p/min (18+).”
ham,"“Oi! Sim, temos que falar sexta-feira - proporção ovo-batata para tortilla necessária!”"
ham,"“Hmm... meu tio me avisou que ele tá pagando a escola diretamente. Então, pls compre comida.”
"
spam,"“Privado! Sua declaração de conta do seu 2004 mostra 786 pontos de bônus não resgatados. Para reivindicar o chamado 08719180248. Identificador: 45239. Data de Expiração: """
spam,"“URGENTE! Seu número de celular foi premiado com um bônus de R$2000 como Chamador, no dia 5 de setembro de 2003. É nossa última tentativa de contato. Ligue de telefone fixo: 09064019788. Caixa: BOX42WR29C, 150PPM.”"
ham,"“Olha, aqui está o meu novo endereço - apples&pairs&all that malarky”"
spam,"“Hoje, os números de Voda que terminam em 7548 estão sendo selecionados para receber um prêmio de $350. Se você tiver um match, ligue para 08712300220, mencionando o código de reivindicação 4041 e o aplicativo padrão.”"
ham,“Estou indo para São Miguel hoje. Vão ser feito apenas às 12.”
ham,“Previsão de quanto tempo eu vou terminar de comprar?”
ham,"“Tudo bem, farei.”"
ham,"“Só pra te avisar, ainda não enviou o dinheiro. Eu só mandei uma mensagem pra ela não incomodar em enviar. Então, está tudo certo, você não precisa se envolver em nada. Eu não deveria ter colocado nada em cima de você no começo, então, peço desculpas.”"
ham,“E aí? Você aí na sala?”
ham,"""Oi! Como você está? Espero que esteja tudo bem com você, eu e você, e tudo bem! Mais tempo! Liga pra mim, viu? De Lucyxx"""
ham,“Oi! Quanto custa?”
ham,“Estou em casa.”
ham,“Oi! Vou ligar amanhã.”
ham,"“Primeiro, responda à minha pergunta.”
"
spam,"“Solzinho Quiz Semanal! Ganhe um top Sony DVD player se você souber qual país o Algarve está em? Texto resposta para 82277. £1.50 SP:Tyrone”
"
spam,"“Quer se encontrar hoje à noite? Quer locais de namoro reais enviados diretamente para o meu celular? Junte-se à maior rede de namoro do Reino Unido pelo envio de mensagens GRAVEL para 69888! Não, não, não, não. ec2a. 31p.msg@150p”"
ham,“Eu só tenho MSN. É você@hotmail.com”
ham,“Ele está lá. Você chama e o encontra.”
ham,"“Ei, tudo bem? Vou verificar todos os quartos antes das atividades.”"
spam,"“Você não receberá mais mensagens do serviço de chat. Receberá gratuitamente serviços hardcore. Para isso, vá: 69988. Se não receber nada, você precisa verificar sua rede e tentar novamente.”"
ham,"“Eu tô cê... Eu tô meio preguiçoso pra digitar... Eu esquei Ì_ em lect... Eu vi uma bolsa, mas tipo não tão legal…”
"
ham,"“Oi! Tô indo, tá? K”"
ham,“Olá! Aguardando sua correspondência.”
ham,"“A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8”"
ham,"“Oi! Você sabe? Pode abrir a parte de trás, por favor?”"
ham,"“Sim, vejo você! Não no prazo.”"
ham,"“E aí, qual o nome do funcionário que está dando a aula pra gente?”"
spam,"“Oi! Por que você não respondeu para meu texto? Eu sou Randy, uma mulher sexy e que vive local. Adoro te ouvir. Netcollex Ltd 08700621170150p, respondeu a todos os messagens. Pare agora.”"
ham,"“Mãe vai ligar depois de check in. A nossa vida vai começar no Qatar, então por favor, peça oração muito forte.”"
ham,"“Ai, kkk… você apagou o contato que por quê?”
"
ham,“Olá! Tem um trabalho na Soft Birla?”
ham,“A garoa está caindo e eu tenho nada acontecendo.”
ham,"“Eu acho que é melhor do que ir para a praça, não precisa ir.”"
ham,“Ok... Regular resposta...”
ham,"“Oi! Sua chamada está definida como o callertune para todos os Callers. Pressione *9 para copiar o callertune dos seus amigos.”
"
ham,"""Você está em todos os lugares, sujo, no chão, nas janelas, até na minha camisa. E às vezes, quando eu abro a boca, você é tudo que vem flui. Eu sonho do meu mundo sem você, então metade das minhas tarefas estão fora também. Um tempo de alegria para mim, muitos programas de TV eu vou ver. Mas acho que, como tudo, você simplesmente deve existir, como chuva, neve e névoa, e quando eu terminar aqui, você e eu nos tornamos um."""
ham,“E aí? Você tá no trabalho?”
ham,“Estou saindo da minha casa agora…”
ham,"“Oi, meu amor. O que você está fazendo? Você conseguiu essa entrevista hoje? Você está feliz? Você é um bom menino? Você pensa em mim? Estou te procurando.”"
spam,"“Olá! Você tem uma entrega de Ano Novo esperando por você. Ligue agora para 07046744435 para agendar a entrega.”
"
spam,“Você é um vencedor. Você foi selecionado especialmente para receber £1000 em dinheiro ou um pacote de 4 viagens (incluindo passagens aéreas). Converse com um operador vivo para reclamar 0871277810810.”
ham,"“Cuidado, porque eu preciso de você, e já estou sentindo saudades. E invejo todo mundo que vê você na vida real.”
"
ham,"“Novo carro e casa para meus pais.:) Tenho apenas um novo emprego na mão:)""
"
ham,"“Estou tão apaixonado por você. Estou animado(a) a cada dia que passamos juntos. Você me faz tão feliz.”
"
spam,“Pelo amor de Deus! (32/F) está te convidando a ser sua amiga. Responda YES-434 ou NO-434 Veja ela: www.SMS.ac/u/bootydelious? STOP? Envie STOP FRND para 62468”
spam,"“Olá! Seu pedido está em trânsito. Você DEVE receber uma mensagem de serviço 2 com o conteúdo de sua compra. Se você não receber, vá para wap.bangb.tv no seu internet/serviço móvel.”"
ham,“Eu coloco todos os meus pontos na área de culturas já.”
spam,"“URGENTE! Estamos tentando entrar em contato com você. No último fim de semana, os sorteios da sua loteria mostraram que você ganhou um prêmio de £900 GARANTIDO. Ligue para 09061701939. Utilize o código S89. Validade de 12 horas apenas.”"
ham,"“Oi, mano! Qual a melhor forma de evitar mal-entendidos com nossos queridos?”"
ham,"“Que fuga! Eu quero a ponte, mas precisa dela lager. Até você, cara.”"
ham,“Sim :) É completamente fora do lugar: Clark também diz que o lixo é um desperdício.”
ham,“Olá! Preciso de uma conta do Banco Axis.”
ham,"“Hmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao…”
"
ham,"“E aí, tá planejando vir chegando mais tarde? “"
ham,"“Calma, gente! De verdade, não acreditei que você esqueceu meu sobrenome. Tem uma pista, é espanhol e começa com m… ”"
ham,"“Okay, vou terminar o banho agora. Tenha uma boa noite…”"
ham,"“Me avise quando tiver o dinheiro, Carlos pode fazer a ligação.”"
ham,“E você ainda vai no shopping?”
ham,"“Aí, gente, meus amigos estão na casa inteira e não vão embora até ~ &lt;#&gt; , então, pode deixar que fumem aquele $ &lt;#&gt; vale.”"
ham,"“Oi! Se ela não responder, me avisa pra eu saiba como logar nela.”
"
ham,“Oi! Você só conversou com MANEESHA V. Quer saber se você estava satisfeito com a experiência? Responda por telefone com Sim ou Não.”
ham,"“Você me deu minha esperança com a oferta de dinheiro. Estou precisando. Especialmente quando o fim do mês se aproxima e dói meu estudo. De qualquer forma, tenha um ótimo fim de semana.”"
ham,"“Haha, não. Você pode confiar em mim.”"
ham,“Okay. Eu sou um cara e vou tratar você com dignidade e respeito.”
ham,"""Você vai, galera, fechar?""
"
ham,"“Tudo bem, nada demais. Tchau.”
"
ham,"“Olá, cara! Você tá encontrando esse emprego? Não tá sendo preguiçoso? Trabalhando pra voltar esse dinheiro pra mãe? Onde tá o meu garoto agora? Ele te ama?”"
ham,"“Haha, legal, até mais em um minuto.”"
spam,"""Olá! Nossa equipe de atendimento ao cliente está te ligando no FREEPHONE 0808 145 4742 entre 9h e 11h. Você ganhou um prêmio garantido de £1000 ou £5000!"""
ham,"“Tem as horas do Natal? Se não, eu vou pegar agora.”"
ham,“Eu finalmente cheguei em casa. Eu me lavo primeiro. Mas minha irmã usando a internet me diz quando ela termina...”
spam,“Você é o suficiente? Descubra em 30 de agosto. www.areyouunique.co.uk”
ham,"“Sinto muito. Eu me juntei ao grupo de pessoas que não mantêm contato. Você quer dizer um grande valor para mim. Você foi meu amigo em todos os momentos, mesmo que tenha custado muitas coisas pessoais. Você tem uma ótima semana.”"
ham,"“Oi! Finalmente terminei o curso:)""
"
ham,"“Vai parar sozinho. Eu, no entanto, sugere que ela fique com alguém que possa dar apoio para cada cadeira.”"
ham,"“Como você está? Espero que tenha se adaptado bem para o novo ano letivo. Só desejando-te um dia maravilhoso!”
"
ham,“Oi! Tudo bem? Espero que tenha um ótimo dia!”
ham,“Você pegou a história dessa pessoa?”
ham,"“Você viu o hamster? Oi, então amanhã eu te encontro às 1 da tarde na Orchard? ”"
ham,"“Oi, Kate! Como está sua noite? Espero que eu possa te ver um pouco amanhã, mas tenho que fazer um bebêjontet! Txt de volta se puder. :)* xxx""
"
ham,"“Oi! Encontrei, ENC  &lt;#&gt; , onde você aí?”
"
ham,“Oi! Enviuei pra você &lt;#&gt; dólares.”
ham,"“Oi, meu amor! Agora que terminei a faculdade, eu te mando um txt quando você terminar? Se puder, eu te amo!”"
ham,“Seu saldo da conta foi reabastecido com INR e seu saldo do cartão pré-pago Kerala está em Rs. Seu ID de transação é KR &lt;#&gt;.”
ham,"“Bom dia, dormindo, gata.”
"
ham,"“Olá! Você me chama alter em 11, tá? ”"
ham,"“Eu digo até que, como isso, eu dun buy ericsson oso não pode oredi lar…”
"
ham,"“Eu entrei na minha cabana e o PA disse, ‘Feliz Aniversário, chefe !!’. Eu me senti especial. Ela me perguntou 4 almoço. Depois do almoço, ela me convidou para o seu apartamento. Nós fomos lá.”"
ham,"“Olá! Seu acesso à conta da Amazon foi suspenso por atividade estranha. Pra verificar seus dados, clique aqui: [link]""
"
ham,"“Por favor, dê-nos uma conexão hoje mesmo antes de &lt;DECIMAL&gt; ou reembolse a conta.”"
ham,"“Olá! Você dispara muita coisa, então prepare-se!”
"
ham,"“E aí, mano, espero que tenha aproveitado muito o feriado. Tenho uma semester boa, tá ligado?”"
ham,"“Casa, então sempre podemos conversar.”"
ham,"""Oi! Tudo bem? Tô indo bem, tô estudando bem, né? 😊""
"
ham,"“Yup... How Ì_ noe leh…”

(Contexto: A mensagem é um fragmento de uma conversa, provavelmente de alguém que está hesitante ou confuso, e a tradução é uma forma de expressar dúvida ou hesitação em português brasileiro.)
"
ham,“Olá! Tudo bem? Você tá em casa?”
ham,"“Finalmente, o título do jogo está se aproximando da previsão.”"
ham,“Estou cansado. Não consegui dormir bem nas últimas noites.”
ham,"“E aí? Tá tudo bem? Significa que você foi selecionado/a, é bom!”
"
ham,"“Preciso tirar um exame com 3 de março.”
"
ham,"“Sim, você deveria. Acho que pode usar seu gt agora para se registrar. Não sei, mas se houver alguma forma de me ajudar, me avise. Mas quando você fizer, certifique-se de estar pronto.”"
ham,“Ok no prob. Tome o tempo pra mim.”
ham,“Eles chamam de 'Ubandu' que vai funcionar sem instalar no disco rígido... você pode usar esse 'Ubandu' para copiar os arquivos importantes do sistema e dar para a oficina de reparo.”
ham,"“Calma, eu te ligo mais tarde.”"
ham,"“Nós dizemos... Claro, nada acontece aqui. Não é que seja um caso romântico um pouco, só um pouco. Eu acho que a paisagem não é tão boa aqui.”"
spam,"“500 Celulares Novos de 2004, VÃO! Texto: NÃO NOKIA para NÃO: 89545 e colete o seu hoje! Apenas R$1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18”"
ham,“Quer que você me ligue. Só preciso de alguém para conversar.”
spam,"“Você vai encontrar seu parceiro ideal em breve? Está pensando em começar uma nova carreira e descobrir tudo isso por mensagem? txt HORO seguido por seu signo, por exemplo, HORO ARIES.”
"
ham,"“Oi, empresa, falando sobre o que?”"
ham,"“A vida é mais rigorosa que um professor... Porque um professor ensina uma lição e, em seguida, realiza um exame, mas a vida primeiro realiza um exame e, em seguida, ensina lições. Bom dia.”"
ham,“Oi! Agora que só eu estou acordando.”
ham,"“Vamo pra Gandhipuram, vai até a ponte de Cuxa. À direita e à esquerda, rua de terra e vire à primeira na direita.”"
ham,“Olá! Estamos indo para nossa loja de borracha.”
ham,"“Ai, a bateria acabou, sim, eu tô aqui.”"
ham,"“Sim,:) aqui a TV está sempre disponível no trabalho.”"
spam,"“Olá! Você pode encontrar alguém sexy hoje. Você pode encontrar um encontro ou até flertar. Junte-se a 4 apenas 10 pessoas. Responda com nome e idade: Sam 25. 18 -msg recd@thirtyeight pence”
"
ham,"“Estou imprimindo isso, viu? &lt;#&gt;  vai subida aí.”
"
ham,"“Vai ser um pouco mais perto, como na parada de ônibus na mesma rua.”"
ham,“Onde você? Quando você vai chegar aqui?”
ham,"“A nova teoria: o argumento vence a SITUATION, mas perde a pessoa. Então, não argumente com seus amigos, só... *descarte-os* e diga, eu sempre estou certo.”"
spam,"“Olá! Tem um admirador secreto que quer me contactar. Quer saber quem eles são? Revelar quem pensa que eu sou tão especial – ligue para 09058094597.”
"
ham,"“Hoje, o julgamento final do caso do laptop então eu não consigo.”"
ham,“Olá! Você precisa de ajuda com o esporte?”
ham,"“Okay. Não, não, só estou mostrando. Aquilo era pra ser assinatura, mas isso soa melhor.”"
ham,"“Ainda que eu te disse que eu estou na vibe de baig face watches agora, mas eu realmente gosto do seu watch u me deu, é fr, né? Thanx 4 tudo dat u've done today, i’m touched…”
"
ham,“Você não se lembra daquela antiga publicidade?”
ham,"“Não dá. Eu disse que eu tenho o site. Eu não, eu tinha ou não tinha os sapatos.”"
ham,"“Você me pediu para chamar ele agora, ok?”
"
ham,“Kallis não vai jogar em 2ª bola.”
ham,"“Não funcionou mais, oh. Ok, boa noite, então. Eu vou consertar e ter que deixar pronto até que você acorde. Você é muito querido, tenha uma boa noite. Dorme bem.”"
spam,"“Parabéns, você foi premiado com 500 vouchers de CD ou 125 presentes garantidos & Entrada Gratuita 210 semanas por mês, Música para 87066 Contas. www.Ldew.com 1win150ppmx3age16”"
ham,"“Ranjith, Dheeraj e Deepak estão esperando por 5 minutos.”"
ham,"“Você é um amorzinho, irritado com você, não leve isso a sério.. Ser bravo é a forma mais infantil e verdadeira de mostrar afeto, carinho e amor! Kettoda manda... Tenha um bom dia.”"
ham,"“E aí? O que você tá fazendo? Como você está?”
"
ham,"“E aí, que é 3 dias também, e a transportadora que leva 2 semanas. A outra é a USPS, que leva uma semana, mas quando ela chega no meio, você pode ter que dar um jeito em nipo pra conseguir seu stuff.”"
ham,"“Estou de volta, me avise quando estiver pronto.”"
ham,"“Não necessariamente vai ser feito antes que você volte, porque eu estou indo embora agora.”"
ham,"“Mmm, que delícia, meu amor… Que choque gostoso para a Suzy.”
"
ham,"“Onde você está, meu amor? Eu preciso de você.”"
spam,"“Olá! Tentamos entrar em contato com você sobre sua resposta à nossa oferta de um vídeo telefone? 750 minutos a qualquer hora? SMS ILIMITADO? Câmera? Responda ou ligue 08000930705 AGORA!”
"
ham,"“Eu tô estacionado na frente de um MINI! Quando você vai vir hoje, você acha?”"
ham,"“Olá! Seu acesso à conta da Amazon foi suspenso por atividade estranha. Pra verificar seus dados, clique aqui: [link]""
"
ham,"“Tudo bem, eu estou indo de compras sozinho agora. Acontece que minha irmã ainda não fez. Não vou te perturbar, viu?”"
ham,“Olá! Seu número na conta da Luton é 0125698789. Me liga se você estiver por perto!”
spam,“Oi! Tô muito com vontade de conversar ou ver meu corpo text quente. Quer ver? Mensagem enviada às 15:00. Desconectar texto. Stop.”
ham,"“E aí, você Dint, vem com a gente?”
"
ham,"“Tudo bem? Quer que eu te ajude a planejar uma viagem, então?”"
ham,"“Não sei ainda, ainda tentando falar com ele.”"
spam,"“O serviço de alarme de telefone mudou! 25 créditos grátis! Vá para club4mobiles.com escolher conteúdo agora! Pausa? txt CLUB PAUSA 87070. 150p/wk Club4 PO Box1146 MK45 2WT”
"
ham,“Evolução. Só tive que baixar um flash. Jeito?”
spam,“Ouve! O Club Ringtone: Recebe o top da UK singles em tua loção móvel a cada semana e escolhe qualquer ringtone de qualidade! Isto é totalmente gratuito.”
ham,"“Vamos para o mu, estamos organizando nossa situação de drogas.”"
